학교ID,학교명,iso_library_count,iso_public_library_count,nearest_library_name,nearest_library_euclid_m,장서수,좌석수,사서교사수,사서직원수,사서합계,학생수,인당장서수,좌석당학생수,matched,기준일,external_shortage,internal_shortage,demand_high,reading_gap_type,reading_gap_reason
B000003148,인천가림초등학교,1,0,엘림 작은도서관,204,21516,65,0,1,1,198,108.7,3.0,1,2025,True,False,False,school_hub_mobile,"도보500m 내 공공도서관 0개·내부 지표(사서·인당장서수) 양호 → 외부만 부족, 학교거점 순회/모바일 서비스로 보완"
B000003189,해명초등학교,0,0,내가도서관,6117,11501,30,0,0,0,7,1643.0,0.2,1,2025,True,True,False,direct_investment_first,도보500m 내 공공도서관 0개·사서 미배치·수요 상위 25% 아님 → 외부·내부 모두 부족하나 수요는 상위 25% 미만(edge case: 문서 원문의 '수요 높음' 조건 미충족. 직접투자 필요성은 유지하되 우선순위는 수요충족군보다 후순위로 기록)
B000003113,인천화전초등학교,0,0,작전도서관,697,28006,24,1,0,1,688,40.7,28.7,1,2025,True,False,False,school_hub_mobile,"도보500m 내 공공도서관 0개·내부 지표(사서·인당장서수) 양호 → 외부만 부족, 학교거점 순회/모바일 서비스로 보완"
B000003131,인천효성서초등학교,0,0,삼산도서관,612,16152,43,1,0,1,341,47.4,7.9,1,2025,True,False,False,school_hub_mobile,"도보500m 내 공공도서관 0개·내부 지표(사서·인당장서수) 양호 → 외부만 부족, 학교거점 순회/모바일 서비스로 보완"
B000026155,인천한들초등학교,0,0,아라꿈 도서관,967,8097,50,1,0,1,766,10.6,15.3,1,2025,True,True,True,direct_investment_first,"도보500m 내 공공도서관 0개·인당장서수 중앙값 50% 미만·수요 상위 25%(2029 예측) → 외부·내부 모두 부족+수요 높음, 직접투자 최우선"
B000025248,인천은송초등학교,0,0,송도5동작은도서관,575,12140,68,0,1,1,1502,8.1,22.1,1,2025,True,True,True,direct_investment_first,"도보500m 내 공공도서관 0개·인당장서수 중앙값 50% 미만·수요 상위 25%(2029 예측) → 외부·내부 모두 부족+수요 높음, 직접투자 최우선"
B000003095,인천구월초등학교,0,0,인천광역시교육청 인천광역시교육청중앙도서관,1340,13251,26,1,0,1,299,44.3,11.5,1,2025,True,False,False,school_hub_mobile,"도보500m 내 공공도서관 0개·내부 지표(사서·인당장서수) 양호 → 외부만 부족, 학교거점 순회/모바일 서비스로 보완"
B000003140,인천초은초등학교,1,0,청라 자이도서관,136,28811,62,0,1,1,836,34.5,13.5,1,2025,True,False,True,school_hub_mobile,"도보500m 내 공공도서관 0개·내부 지표(사서·인당장서수) 양호 → 외부만 부족, 학교거점 순회/모바일 서비스로 보완"
B000025189,인천송명초등학교,0,0,누리공원작은도서관,461,24326,50,1,0,1,1173,20.7,23.5,1,2025,True,True,True,direct_investment_first,"도보500m 내 공공도서관 0개·인당장서수 중앙값 50% 미만·수요 상위 25%(2029 예측) → 외부·내부 모두 부족+수요 높음, 직접투자 최우선"
B000025677,인천주안초등학교,0,0,이랑도서관,833,22719,31,0,1,1,869,26.1,28.0,1,2025,True,False,True,school_hub_mobile,"도보500m 내 공공도서관 0개·내부 지표(사서·인당장서수) 양호 → 외부만 부족, 학교거점 순회/모바일 서비스로 보완"
B000003164,인천가정초등학교,1,0,푸른샘 어린이도서관,329,28337,40,0,1,1,664,42.7,16.6,1,2025,True,False,False,school_hub_mobile,"도보500m 내 공공도서관 0개·내부 지표(사서·인당장서수) 양호 → 외부만 부족, 학교거점 순회/모바일 서비스로 보완"
B000003187,양사초등학교,0,0,강화도서관,8114,9766,24,0,0,0,33,295.9,1.4,1,2025,True,True,False,direct_investment_first,도보500m 내 공공도서관 0개·사서 미배치·수요 상위 25% 아님 → 외부·내부 모두 부족하나 수요는 상위 25% 미만(edge case: 문서 원문의 '수요 높음' 조건 미충족. 직접투자 필요성은 유지하되 우선순위는 수요충족군보다 후순위로 기록)
B000003133,인천해원초등학교,0,0,청라호수도서관,945,26232,80,1,0,1,1833,14.3,22.9,1,2025,True,True,True,direct_investment_first,"도보500m 내 공공도서관 0개·인당장서수 중앙값 50% 미만·수요 상위 25%(2029 예측) → 외부·내부 모두 부족+수요 높음, 직접투자 최우선"
B000002968,인천서림초등학교,3,3,이룸청소년도서관,120,18993,56,0,1,1,488,38.9,8.7,1,2025,False,False,False,maintain_monitor,"도보500m 내 공공도서관 확보·내부 지표(사서·인당장서수) 양호 → 외부·내부 모두 양호, 현행 유지 및 모니터링"
B000026333,인천가원초등학교,0,0,가정LH3단지 작은도서관,349,22482,41,0,0,0,1558,14.4,38.0,1,2025,True,True,True,direct_investment_first,"도보500m 내 공공도서관 0개·사서 미배치·인당장서수 중앙값 50% 미만·수요 상위 25%(2029 예측) → 외부·내부 모두 부족+수요 높음, 직접투자 최우선"
B000003175,조산초등학교,0,0,지혜의숲도서관,8276,10420,19,0,0,0,42,248.1,2.2,1,2025,True,True,False,direct_investment_first,도보500m 내 공공도서관 0개·사서 미배치·수요 상위 25% 아님 → 외부·내부 모두 부족하나 수요는 상위 25% 미만(edge case: 문서 원문의 '수요 높음' 조건 미충족. 직접투자 필요성은 유지하되 우선순위는 수요충족군보다 후순위로 기록)
B000003074,인천간석초등학교,0,0,간석3동어린이도서관,765,27314,51,1,0,1,510,53.6,10.0,1,2025,True,False,False,school_hub_mobile,"도보500m 내 공공도서관 0개·내부 지표(사서·인당장서수) 양호 → 외부만 부족, 학교거점 순회/모바일 서비스로 보완"
B000002993,연평초등학교,0,0,연평도서관,385,16073,16,0,0,0,26,618.2,1.6,1,2025,True,True,False,direct_investment_first,도보500m 내 공공도서관 0개·사서 미배치·수요 상위 25% 아님 → 외부·내부 모두 부족하나 수요는 상위 25% 미만(edge case: 문서 원문의 '수요 높음' 조건 미충족. 직접투자 필요성은 유지하되 우선순위는 수요충족군보다 후순위로 기록)
B000025236,인천첨단초등학교,0,0,송도3동작은도서관,495,20147,75,0,0,0,1582,12.7,21.1,1,2025,True,True,True,direct_investment_first,"도보500m 내 공공도서관 0개·사서 미배치·인당장서수 중앙값 50% 미만·수요 상위 25%(2029 예측) → 외부·내부 모두 부족+수요 높음, 직접투자 최우선"
B000026470,인천이음초등학교,0,0,검단금호어울림센트럴 작은도서관,317,9247,100,1,0,1,1934,4.8,19.3,1,2025,True,True,True,direct_investment_first,"도보500m 내 공공도서관 0개·인당장서수 중앙값 50% 미만·수요 상위 25%(2029 예측) → 외부·내부 모두 부족+수요 높음, 직접투자 최우선"
B000003124,인천안산초등학교,1,1,계양도서관,227,19153,30,0,0,0,265,72.3,8.8,1,2025,False,True,False,public_link,"도보500m 내 공공도서관 확보·사서 미배치 → 내부만 부족, 인근 공공도서관 연계로 보완"
B000003185,하점초등학교,0,0,내가도서관,6410,14067,18,0,0,0,37,380.2,2.1,1,2025,True,True,False,direct_investment_first,도보500m 내 공공도서관 0개·사서 미배치·수요 상위 25% 아님 → 외부·내부 모두 부족하나 수요는 상위 25% 미만(edge case: 문서 원문의 '수요 높음' 조건 미충족. 직접투자 필요성은 유지하되 우선순위는 수요충족군보다 후순위로 기록)
B000003065,인천신정초등학교,0,0,송도2동작은도서관,701,31414,100,0,0,0,1519,20.7,15.2,1,2025,True,True,True,direct_investment_first,"도보500m 내 공공도서관 0개·사서 미배치·인당장서수 중앙값 50% 미만·수요 상위 25%(2029 예측) → 외부·내부 모두 부족+수요 높음, 직접투자 최우선"
B000002962,인천영종초등학교금산분교장,0,0,경성작은도서관,2556,5240,0,0,0,0,47,111.5,0.0,1,2025,True,True,False,direct_investment_first,도보500m 내 공공도서관 0개·사서 미배치·수요 상위 25% 아님 → 외부·내부 모두 부족하나 수요는 상위 25% 미만(edge case: 문서 원문의 '수요 높음' 조건 미충족. 직접투자 필요성은 유지하되 우선순위는 수요충족군보다 후순위로 기록)
B000003158,인천원당초등학교,1,0,물푸레 작은도서관,320,17325,30,0,1,1,441,39.3,14.7,1,2025,True,False,False,school_hub_mobile,"도보500m 내 공공도서관 0개·내부 지표(사서·인당장서수) 양호 → 외부만 부족, 학교거점 순회/모바일 서비스로 보완"
B000025512,인천용학초등학교,0,0,용비도서관,389,17068,120,1,0,1,1192,14.3,9.9,1,2025,True,True,True,direct_investment_first,"도보500m 내 공공도서관 0개·인당장서수 중앙값 50% 미만·수요 상위 25%(2029 예측) → 외부·내부 모두 부족+수요 높음, 직접투자 최우선"
B000003087,인천원동초등학교,0,0,남동논현도서관,728,22330,78,0,0,0,850,26.3,10.9,1,2025,True,True,False,direct_investment_first,도보500m 내 공공도서관 0개·사서 미배치·수요 상위 25% 아님 → 외부·내부 모두 부족하나 수요는 상위 25% 미만(edge case: 문서 원문의 '수요 높음' 조건 미충족. 직접투자 필요성은 유지하되 우선순위는 수요충족군보다 후순위로 기록)
B000025222,인천현송초등학교,0,0,송도국제기구도서관,1253,10923,100,0,0,0,801,13.6,8.0,1,2025,True,True,True,direct_investment_first,"도보500m 내 공공도서관 0개·사서 미배치·인당장서수 중앙값 50% 미만·수요 상위 25%(2029 예측) → 외부·내부 모두 부족+수요 높음, 직접투자 최우선"
B000003016,인천부일초등학교,0,0,부평기적의도서관,275,13006,60,0,1,1,276,47.1,4.6,1,2025,True,False,False,school_hub_mobile,"도보500m 내 공공도서관 0개·내부 지표(사서·인당장서수) 양호 → 외부만 부족, 학교거점 순회/모바일 서비스로 보완"
B000003170,인천서곶초등학교,0,0,한국민들레도서관,433,24119,119,0,0,0,426,56.6,3.6,1,2025,True,True,False,direct_investment_first,도보500m 내 공공도서관 0개·사서 미배치·수요 상위 25% 아님 → 외부·내부 모두 부족하나 수요는 상위 25% 미만(edge case: 문서 원문의 '수요 높음' 조건 미충족. 직접투자 필요성은 유지하되 우선순위는 수요충족군보다 후순위로 기록)
B000026504,인천송담초등학교,0,0,송도국제도서관,125,13152,128,0,1,1,913,14.4,7.1,1,2025,True,True,True,direct_investment_first,"도보500m 내 공공도서관 0개·인당장서수 중앙값 50% 미만·수요 상위 25%(2029 예측) → 외부·내부 모두 부족+수요 높음, 직접투자 최우선"
B000003176,화도초등학교,0,0,내가도서관,10055,11391,38,0,0,0,41,277.8,1.1,1,2025,True,True,False,direct_investment_first,도보500m 내 공공도서관 0개·사서 미배치·수요 상위 25% 아님 → 외부·내부 모두 부족하나 수요는 상위 25% 미만(edge case: 문서 원문의 '수요 높음' 조건 미충족. 직접투자 필요성은 유지하되 우선순위는 수요충족군보다 후순위로 기록)
B000003139,인천청라초등학교,2,0,꿈꾸는 나무 도서관,163,32883,61,0,1,1,1281,25.7,21.0,1,2025,True,False,True,school_hub_mobile,"도보500m 내 공공도서관 0개·내부 지표(사서·인당장서수) 양호 → 외부만 부족, 학교거점 순회/모바일 서비스로 보완"
B000025210,인천연송초등학교,0,0,송도2동작은도서관,431,18300,45,0,1,1,1116,16.4,24.8,1,2025,True,True,True,direct_investment_first,"도보500m 내 공공도서관 0개·인당장서수 중앙값 50% 미만·수요 상위 25%(2029 예측) → 외부·내부 모두 부족+수요 높음, 직접투자 최우선"
B000003179,강화초등학교,1,1,강화도서관,312,19059,20,0,0,0,209,91.2,10.5,1,2025,False,True,False,public_link,"도보500m 내 공공도서관 확보·사서 미배치 → 내부만 부족, 인근 공공도서관 연계로 보완"
B000003101,인천인동초등학교,0,0,만수2동어린이도서관,767,33073,30,1,0,1,771,42.9,25.7,1,2025,True,False,False,school_hub_mobile,"도보500m 내 공공도서관 0개·내부 지표(사서·인당장서수) 양호 → 외부만 부족, 학교거점 순회/모바일 서비스로 보완"
B000002982,인천석암초등학교,0,0,소금꽃어린이도서관,398,20761,28,1,0,1,902,23.0,32.2,1,2025,True,True,True,direct_investment_first,"도보500m 내 공공도서관 0개·인당장서수 중앙값 50% 미만·수요 상위 25%(2029 예측) → 외부·내부 모두 부족+수요 높음, 직접투자 최우선"
B000002956,인천운남초등학교,0,0,경성작은도서관,556,19221,60,0,1,1,458,42.0,7.6,1,2025,True,False,False,school_hub_mobile,"도보500m 내 공공도서관 0개·내부 지표(사서·인당장서수) 양호 → 외부만 부족, 학교거점 순회/모바일 서비스로 보완"
B000003153,인천완정초등학교,1,1,검단도서관,252,19769,52,0,1,1,434,45.6,8.3,1,2025,False,False,False,maintain_monitor,"도보500m 내 공공도서관 확보·내부 지표(사서·인당장서수) 양호 → 외부·내부 모두 양호, 현행 유지 및 모니터링"
B000003160,인천창신초등학교,0,0,으뜸골 작은도서관,527,25573,36,0,1,1,738,34.7,20.5,1,2025,True,False,True,school_hub_mobile,"도보500m 내 공공도서관 0개·내부 지표(사서·인당장서수) 양호 → 외부만 부족, 학교거점 순회/모바일 서비스로 보완"
B000026332,인천백석초등학교,0,0,당하동 책이있는쉼터,360,19913,102,0,0,0,806,24.7,7.9,1,2025,True,True,True,direct_investment_first,"도보500m 내 공공도서관 0개·사서 미배치·수요 상위 25%(2029 예측) → 외부·내부 모두 부족+수요 높음, 직접투자 최우선"
B000003186,명신초등학교,0,0,내가도서관,2811,12845,25,0,0,0,45,285.4,1.8,1,2025,True,True,False,direct_investment_first,도보500m 내 공공도서관 0개·사서 미배치·수요 상위 25% 아님 → 외부·내부 모두 부족하나 수요는 상위 25% 미만(edge case: 문서 원문의 '수요 높음' 조건 미충족. 직접투자 필요성은 유지하되 우선순위는 수요충족군보다 후순위로 기록)
B000003122,인천계양초등학교,0,0,아라이음 작은도서관,1788,26688,38,0,0,0,307,86.9,8.1,1,2025,True,True,False,direct_investment_first,도보500m 내 공공도서관 0개·사서 미배치·수요 상위 25% 아님 → 외부·내부 모두 부족하나 수요는 상위 25% 미만(edge case: 문서 원문의 '수요 높음' 조건 미충족. 직접투자 필요성은 유지하되 우선순위는 수요충족군보다 후순위로 기록)
B000003194,서도초등학교,0,0,내가도서관,14457,16513,30,0,0,0,3,5504.3,0.1,1,2025,True,True,False,direct_investment_first,도보500m 내 공공도서관 0개·사서 미배치·수요 상위 25% 아님 → 외부·내부 모두 부족하나 수요는 상위 25% 미만(edge case: 문서 원문의 '수요 높음' 조건 미충족. 직접투자 필요성은 유지하되 우선순위는 수요충족군보다 후순위로 기록)
B000003112,인천성지초등학교,0,0,효성도서관,531,15415,35,1,0,1,291,53.0,8.3,1,2025,True,False,False,school_hub_mobile,"도보500m 내 공공도서관 0개·내부 지표(사서·인당장서수) 양호 → 외부만 부족, 학교거점 순회/모바일 서비스로 보완"
B000003120,인천당산초등학교,0,0,동양도서관,389,29163,30,0,1,1,721,40.4,24.0,1,2025,True,False,False,school_hub_mobile,"도보500m 내 공공도서관 0개·내부 지표(사서·인당장서수) 양호 → 외부만 부족, 학교거점 순회/모바일 서비스로 보완"
B000002967,인천서흥초등학교,1,1,이룸청소년도서관,384,15187,30,0,1,1,329,46.2,11.0,1,2025,False,False,False,maintain_monitor,"도보500m 내 공공도서관 확보·내부 지표(사서·인당장서수) 양호 → 외부·내부 모두 양호, 현행 유지 및 모니터링"
B000003192,교동초등학교,0,0,내가도서관,11958,7542,18,0,1,1,18,419.0,1.0,1,2025,True,False,False,school_hub_mobile,"도보500m 내 공공도서관 0개·내부 지표(사서·인당장서수) 양호 → 외부만 부족, 학교거점 순회/모바일 서비스로 보완"
B000003134,인천경명초등학교,0,0,푸른 도서관,213,26483,120,0,0,0,891,29.7,7.4,1,2025,True,True,True,direct_investment_first,"도보500m 내 공공도서관 0개·사서 미배치·수요 상위 25%(2029 예측) → 외부·내부 모두 부족+수요 높음, 직접투자 최우선"
B000003184,삼성초등학교,0,0,지혜의숲도서관,3246,7178,15,0,1,1,23,312.1,1.5,1,2025,True,False,False,school_hub_mobile,"도보500m 내 공공도서관 0개·내부 지표(사서·인당장서수) 양호 → 외부만 부족, 학교거점 순회/모바일 서비스로 보완"
B000022839,인천청일초등학교,1,1,청라호수도서관,160,33562,90,0,1,1,829,40.5,9.2,1,2025,False,False,True,maintain_monitor,"도보500m 내 공공도서관 확보·내부 지표(사서·인당장서수) 양호 → 외부·내부 모두 양호, 현행 유지 및 모니터링"
B000026471,인천신검단초등학교,0,0,디에트르 더힐 작은도서관,1062,추가 확인 필요,추가 확인 필요,추가 확인 필요,추가 확인 필요,추가 확인 필요,추가 확인 필요,추가 확인 필요,추가 확인 필요,0,추가 확인 필요,True,추가 확인 필요,False,추가 확인 필요,KESS 학교도서관현황 2025 원천에 해당 학교 레코드가 없어 사서합계·인당장서수 등 내부 지표를 산출할 수 없음(내부 결핍 여부 판정 불가). 도보 500m 내 공공/어린이도서관 0개·2029년 예측 학생수 상위 25% 아님 확인됨. KESS 데이터 보완 후 재분류 필요.
B000003141,인천양지초등학교,4,2,연희주민 문고,141,16852,53,0,0,0,243,69.3,4.6,1,2025,False,True,False,public_link,"도보500m 내 공공도서관 확보·사서 미배치 → 내부만 부족, 인근 공공도서관 연계로 보완"
B000003190,삼산초등학교,0,0,내가도서관,6270,8626,30,0,0,0,14,616.1,0.5,1,2025,True,True,False,direct_investment_first,도보500m 내 공공도서관 0개·사서 미배치·수요 상위 25% 아님 → 외부·내부 모두 부족하나 수요는 상위 25% 미만(edge case: 문서 원문의 '수요 높음' 조건 미충족. 직접투자 필요성은 유지하되 우선순위는 수요충족군보다 후순위로 기록)
B000026467,인천해든초등학교,0,0,한신더휴어반파크 작은도서관,226,11656,70,0,0,0,1668,7.0,23.8,1,2025,True,True,True,direct_investment_first,"도보500m 내 공공도서관 0개·사서 미배치·인당장서수 중앙값 50% 미만·수요 상위 25%(2029 예측) → 외부·내부 모두 부족+수요 높음, 직접투자 최우선"
B000003083,인천도림초등학교,0,0,남동논현도서관,1909,18093,28,1,0,1,320,56.5,11.4,1,2025,True,False,False,school_hub_mobile,"도보500m 내 공공도서관 0개·내부 지표(사서·인당장서수) 양호 → 외부만 부족, 학교거점 순회/모바일 서비스로 보완"
B000003177,대월초등학교,0,0,강화도서관,1445,10625,50,0,0,0,107,99.3,2.1,1,2025,True,True,False,direct_investment_first,도보500m 내 공공도서관 0개·사서 미배치·수요 상위 25% 아님 → 외부·내부 모두 부족하나 수요는 상위 25% 미만(edge case: 문서 원문의 '수요 높음' 조건 미충족. 직접투자 필요성은 유지하되 우선순위는 수요충족군보다 후순위로 기록)
B000002997,북포초등학교,0,0,백령도서관,5256,13128,100,0,0,0,65,202.0,0.7,1,2025,True,True,False,direct_investment_first,도보500m 내 공공도서관 0개·사서 미배치·수요 상위 25% 아님 → 외부·내부 모두 부족하나 수요는 상위 25% 미만(edge case: 문서 원문의 '수요 높음' 조건 미충족. 직접투자 필요성은 유지하되 우선순위는 수요충족군보다 후순위로 기록)
B000003094,인천신월초등학교,0,0,만수2동어린이도서관,1647,25296,28,0,1,1,223,113.4,8.0,1,2025,True,False,False,school_hub_mobile,"도보500m 내 공공도서관 0개·내부 지표(사서·인당장서수) 양호 → 외부만 부족, 학교거점 순회/모바일 서비스로 보완"
B000003171,인천검암초등학교,1,0,글잎새 작은도서관,310,19073,48,1,0,1,198,96.3,4.1,1,2025,True,False,False,school_hub_mobile,"도보500m 내 공공도서관 0개·내부 지표(사서·인당장서수) 양호 → 외부만 부족, 학교거점 순회/모바일 서비스로 보완"
B000022834,인천청람초등학교,0,0,청호초중학교 작은도서관,335,23257,39,0,1,1,1166,19.9,29.9,1,2025,True,True,True,direct_investment_first,"도보500m 내 공공도서관 0개·인당장서수 중앙값 50% 미만·수요 상위 25%(2029 예측) → 외부·내부 모두 부족+수요 높음, 직접투자 최우선"
B000003169,인천신현초등학교,2,0,로이 작은도서관,125,23408,24,1,0,1,249,94.0,10.4,1,2025,True,False,False,school_hub_mobile,"도보500m 내 공공도서관 0개·내부 지표(사서·인당장서수) 양호 → 외부만 부족, 학교거점 순회/모바일 서비스로 보완"
B000003085,인천장도초등학교,0,0,남동논현도서관,877,16985,80,0,1,1,267,63.6,3.3,1,2025,True,False,False,school_hub_mobile,"도보500m 내 공공도서관 0개·내부 지표(사서·인당장서수) 양호 → 외부만 부족, 학교거점 순회/모바일 서비스로 보완"
B000003161,인천금곡초등학교,1,0,금곡하나아파트 문고,265,13616,35,0,1,1,269,50.6,7.7,1,2025,True,False,False,school_hub_mobile,"도보500m 내 공공도서관 0개·내부 지표(사서·인당장서수) 양호 → 외부만 부족, 학교거점 순회/모바일 서비스로 보완"
B000025256,인천송원초등학교,1,0,해찬솔공원작은도서관,268,24955,36,1,0,1,753,33.1,20.9,1,2025,True,False,True,school_hub_mobile,"도보500m 내 공공도서관 0개·내부 지표(사서·인당장서수) 양호 → 외부만 부족, 학교거점 순회/모바일 서비스로 보완"
B000003004,인천남부초등학교이작분교장,0,0,덕적작은도서관,10894,5870,15,0,0,0,2,2935.0,0.1,1,2025,True,True,False,direct_investment_first,도보500m 내 공공도서관 0개·사서 미배치·수요 상위 25% 아님 → 외부·내부 모두 부족하나 수요는 상위 25% 미만(edge case: 문서 원문의 '수요 높음' 조건 미충족. 직접투자 필요성은 유지하되 우선순위는 수요충족군보다 후순위로 기록)
B000003183,불은초등학교,0,0,지혜의숲도서관,3890,9956,20,0,0,0,51,195.2,2.6,1,2025,True,True,False,direct_investment_first,도보500m 내 공공도서관 0개·사서 미배치·수요 상위 25% 아님 → 외부·내부 모두 부족하나 수요는 상위 25% 미만(edge case: 문서 원문의 '수요 높음' 조건 미충족. 직접투자 필요성은 유지하되 우선순위는 수요충족군보다 후순위로 기록)
B000003082,인천만수초등학교,0,0,서창도서관,1584,23129,40,0,0,0,200,115.6,5.0,1,2025,True,True,False,direct_investment_first,도보500m 내 공공도서관 0개·사서 미배치·수요 상위 25% 아님 → 외부·내부 모두 부족하나 수요는 상위 25% 미만(edge case: 문서 원문의 '수요 높음' 조건 미충족. 직접투자 필요성은 유지하되 우선순위는 수요충족군보다 후순위로 기록)
B000002980,인천관교초등학교,0,0,관교어린이도서관,425,25173,56,0,1,1,431,58.4,7.7,1,2025,True,False,False,school_hub_mobile,"도보500m 내 공공도서관 0개·내부 지표(사서·인당장서수) 양호 → 외부만 부족, 학교거점 순회/모바일 서비스로 보완"
B000003110,인천해서초등학교,0,0,효성도서관,1236,15905,48,0,1,1,141,112.8,2.9,1,2025,True,False,False,school_hub_mobile,"도보500m 내 공공도서관 0개·내부 지표(사서·인당장서수) 양호 → 외부만 부족, 학교거점 순회/모바일 서비스로 보완"
